File Name,Average Distance (meters)
Middle_001.csv,0.15027912486292033
Middle_002.csv,0.17169743807073753
Middle_003.csv,0.2508885960403386
Middle_004.csv,0.2660931082297427
Middle_005.csv,0.30617223441085917
Middle_006.csv,0.38513140078317665
Middle_007.csv,0.413614218774624
Middle_008.csv,0.4466066712101915
Middle_009.csv,0.4933083928121383
Middle_010.csv,0.5292820338295771
Middle_011.csv,0.5589326512878648
Middle_012.csv,0.6020783275654941
Middle_013.csv,0.6325040387850465
Middle_014.csv,0.6989990313452338
Middle_015.csv,0.7302220003740105
Middle_016.csv,0.7539185868049261
Middle_017.csv,0.7819816871443107
Middle_018.csv,0.8157733014045454
Middle_019.csv,0.9095930930863714
Middle_020.csv,0.9817613499397516
Middle_021.csv,1.029556686940615
Middle_022.csv,1.092151564242495
Middle_023.csv,1.1461360069722497
Middle_024.csv,1.2271972431732607
Middle_025.csv,1.2675506005254615
Middle_026.csv,1.340479135273131
Middle_027.csv,1.4062271187748874
Middle_028.csv,1.4252590164557428
Middle_029.csv,1.4901050022790083
Middle_030.csv,1.5282062811993655
