File Name,Average Distance (meters)
small_001.csv,0.0882264555599596
small_002.csv,0.1513991566736849
small_003.csv,0.16881975654459813
small_004.csv,0.19968251771527717
small_005.csv,0.23560621086040123
small_006.csv,0.2840174539412363
small_007.csv,0.36256428964014303
small_008.csv,0.39560149772330294
small_009.csv,0.4409504288122766
small_010.csv,0.49045746547265784
small_011.csv,0.533286243202574
small_012.csv,0.5583341732749053
small_013.csv,0.6114380933911596
small_014.csv,0.639531315452662
small_015.csv,0.7111230352879261
small_016.csv,0.7260484629598384
small_017.csv,0.7847651471982309
small_018.csv,0.8258722956931853
small_019.csv,0.8867060307852833
small_020.csv,0.895117974818649
small_021.csv,0.9581352458936774
small_022.csv,0.9989651576527865
small_023.csv,1.0507361900383319
small_024.csv,1.1067726317859414
small_025.csv,1.1437783496537965
small_026.csv,1.2199747269586982
small_027.csv,1.2324582319056223
small_028.csv,1.2996313991906274
small_029.csv,1.3383453592893213
small_030.csv,1.4309693005235713
small_031.csv,1.4769148365500924
small_032.csv,1.5329272360244137
