File Name,Average Distance (meters)
straight_001.csv,0.06184454999898853
straight_002.csv,0.07830651746701633
straight_003.csv,0.11187482663830241
straight_004.csv,0.11821717358696462
straight_005.csv,0.14894236560336688
straight_006.csv,0.24183864236304106
straight_007.csv,0.24960137084158257
straight_008.csv,0.2956559013145346
straight_009.csv,0.3259836194325383
straight_010.csv,0.357876368451738
straight_011.csv,0.4052832771448977
straight_012.csv,0.4179304078977418
straight_013.csv,0.46442276781049363
straight_014.csv,0.5132506724204172
straight_015.csv,0.5752931241223715
straight_016.csv,0.579779807816173
straight_017.csv,0.6197067106871131
straight_018.csv,0.6669745696630632
straight_019.csv,0.7255368137776794
straight_020.csv,0.7724701610680539
straight_021.csv,0.8261855279752339
straight_022.csv,0.8724571048997797
straight_023.csv,0.9253072876725523
straight_024.csv,0.9914598570950183
straight_025.csv,1.0124824809706536
straight_026.csv,1.0751965443173783
straight_027.csv,1.1080797488934708
straight_028.csv,1.192561006101112
straight_029.csv,1.2281322061368125
straight_030.csv,1.2722801023161945
straight_031.csv,1.3081454351714674
straight_032.csv,1.3307089027688737
