File Name,Average Distance (meters)
large_001.csv,0.25005190707337993
large_002.csv,0.32484100845329933
large_003.csv,0.39992065853156566
large_004.csv,0.4489414508655431
large_005.csv,0.5039155601916494
large_006.csv,0.5728029041305001
large_007.csv,0.6462056000694464
large_008.csv,0.7271804297554432
large_009.csv,0.8699588525496655
large_010.csv,0.9285899289800535
large_011.csv,0.9746474189156354
large_012.csv,1.0705689164909469
large_013.csv,1.1951086833297957
large_014.csv,1.2976314678602352
large_015.csv,1.3763708225378162
large_016.csv,1.4155704808973832
large_017.csv,1.5183174303355358
large_018.csv,1.5963956586638464
large_019.csv,1.6579047764702535
large_020.csv,1.7347080753020296
