File Name,Average Distance
mid_000.csv,0.018762228517920424
mid_001.csv,0.09179722960715367
mid_002.csv,0.11602019172503426
mid_003.csv,0.17051411318408985
mid_004.csv,0.22195384469943194
mid_005.csv,0.267837919264652
mid_006.csv,0.3178630059957272
mid_007.csv,0.2725603275421486
mid_008.csv,0.30459272521672454
mid_009.csv,0.3535990270880076
mid_010.csv,0.4478479997443624
mid_011.csv,0.4669544053452872
mid_012.csv,0.48972161192607383
mid_013.csv,0.5282668381397749
mid_014.csv,0.5521151478588897
mid_015.csv,0.6085214529685053
mid_016.csv,0.6849931242191254
mid_017.csv,0.7097857325346969
mid_018.csv,0.7598520318658136
mid_019.csv,0.8540736863681572
mid_020.csv,0.8837432328507943
mid_021.csv,0.9366358126331177
mid_022.csv,1.0002811008080066
mid_023.csv,1.0528452352554272
mid_024.csv,1.1221900229939883
mid_025.csv,1.1400404415822603
mid_026.csv,1.1954399333377723
mid_027.csv,1.2444893241591013
mid_028.csv,1.2945973508906585
mid_029.csv,1.3357923467166521
mid_030.csv,1.4120005942070568
mid_031.csv,1.4729348382400753
mid_032.csv,1.5327158981664293
