Category,Subfolder,Tag ID,Average Distance (cm)
small,sm29,10,
small,sm29,12,
small,sm13,0,
small,sm13,2,
small,sm13,10,38.49990204969052
small,sm13,12,
small,sm27,0,
small,sm27,2,
small,sm27,10,
small,sm27,12,
small,sm25,0,
small,sm25,2,
small,sm25,10,
small,sm25,12,
small,sm17,0,
small,sm17,2,
small,sm17,10,
small,sm17,12,
small,sm22,0,
small,sm22,2,
small,sm22,10,
small,sm22,12,
middle,m12,0,
middle,m12,2,
middle,m12,10,42.762986547174464
middle,m12,12,
middle,m19,0,
middle,m19,2,
middle,m19,10,
middle,m19,12,
middle,m8,0,
middle,m8,2,34.35850410210389
middle,m8,10,28.222101151265665
middle,m8,12,
middle,m10,0,
middle,m10,2,
middle,m10,10,36.07135746991442
middle,m10,12,
middle,m16,0,
middle,m16,2,
middle,m16,10,
middle,m16,12,
middle,m31,0,
middle,m31,2,
middle,m31,10,
middle,m31,12,
middle,m1,0,
middle,m1,2,9.323082981431272
middle,m1,10,
middle,m1,12,
middle,m9,0,
middle,m9,2,38.3799896690222
middle,m9,10,32.315166118231986
middle,m9,12,
middle,m25,0,
middle,m25,2,
middle,m25,10,
middle,m25,12,
middle,m23,0,
middle,m23,2,
middle,m23,10,
middle,m23,12,
middle,m22,0,
middle,m22,2,
middle,m22,10,
middle,m22,12,
middle,m15,0,
middle,m15,2,
middle,m15,10,56.24241761399769
middle,m15,12,
middle,m13,0,
middle,m13,2,
middle,m13,10,44.64556788031364
middle,m13,12,
middle,m3,0,11.663137730530643
middle,m3,2,16.216555123154706
middle,m3,10,11.028270261701875
middle,m3,12,15.875676739024414
middle,m2,0,8.005787181048124
middle,m2,2,12.427809630162685
middle,m2,10,
middle,m2,12,
middle,m29,0,
middle,m29,2,
middle,m29,10,
middle,m29,12,
middle,m20,0,
middle,m20,2,
middle,m20,10,
middle,m20,12,
middle,m24,0,
middle,m24,2,
middle,m24,10,
middle,m24,12,
middle,m32,0,
middle,m32,2,
middle,m32,10,
middle,m32,12,
middle,m27,0,
middle,m27,2,
middle,m27,10,
middle,m27,12,
middle,m11,0,
middle,m11,2,
middle,m11,10,39.14972808558486
middle,m11,12,
middle,m30,0,
middle,m30,2,
middle,m30,10,
middle,m30,12,
middle,m26,0,
middle,m26,2,
middle,m26,10,
middle,m26,12,
middle,m14,0,
middle,m14,2,
middle,m14,10,51.89326029596682
middle,m14,12,
middle,m5,0,
middle,m5,2,29.858943933864946
middle,m5,10,24.297490043061508
middle,m5,12,
middle,m21,0,
middle,m21,2,
middle,m21,10,
middle,m21,12,
middle,m7,0,
middle,m7,2,28.97412543104573
middle,m7,10,22.718043167034622
middle,m7,12,
middle,m18,0,
middle,m18,2,
middle,m18,10,
middle,m18,12,
middle,m17,0,
middle,m17,2,
middle,m17,10,
middle,m17,12,
middle,m0,0,21.384677574612216
middle,m0,2,26.318086388417687
middle,m0,10,21.010088133774186
middle,m0,12,
middle,m28,0,
middle,m28,2,
middle,m28,10,
middle,m28,12,
middle,m4,0,15.696181030245299
middle,m4,2,20.557654152478047
middle,m4,10,15.116594813831272
middle,m4,12,
middle,m6,0,
middle,m6,2,33.44173792862355
middle,m6,10,27.584680624499924
middle,m6,12,
