Category,Subfolder,Tag ID,Average Distance (cm)
middle,middle21,0,
middle,middle21,2,
middle,middle21,10,
middle,middle21,12,
middle,middle10,0,
middle,middle10,2,
middle,middle10,10,
middle,middle10,12,
middle,middle29,0,
middle,middle29,2,
middle,middle29,10,
middle,middle29,12,
middle,middle14,0,
middle,middle14,2,
middle,middle14,10,
middle,middle14,12,
middle,middle11,0,
middle,middle11,2,
middle,middle11,10,
middle,middle11,12,
middle,middle19,0,
middle,middle19,2,
middle,middle19,10,
middle,middle19,12,
middle,middle27,0,
middle,middle27,2,
middle,middle27,10,
middle,middle27,12,
middle,middle18,0,
middle,middle18,2,
middle,middle18,10,
middle,middle18,12,
LARGE,large16,0,
LARGE,large16,2,
LARGE,large16,10,
LARGE,large16,12,
LARGE,large7,0,
LARGE,large7,2,
LARGE,large7,10,
LARGE,large7,12,
LARGE,large12,0,
LARGE,large12,2,
LARGE,large12,10,
LARGE,large12,12,
LARGE,large6,0,
LARGE,large6,2,
LARGE,large6,10,
LARGE,large6,12,
LARGE,large3,0,
LARGE,large3,2,28.20323546657728
LARGE,large3,10,25.87116575234875
LARGE,large3,12,
LARGE,large15,0,
LARGE,large15,2,
LARGE,large15,10,
LARGE,large15,12,
LARGE,large13,0,
LARGE,large13,2,
LARGE,large13,10,
LARGE,large13,12,
LARGE,large9,0,
LARGE,large9,2,
LARGE,large9,10,
LARGE,large9,12,
LARGE,large17,0,
LARGE,large17,2,
LARGE,large17,10,
LARGE,large17,12,
LARGE,large5,0,
LARGE,large5,2,
LARGE,large5,10,
LARGE,large5,12,
LARGE,large8,0,
LARGE,large8,2,
LARGE,large8,10,
LARGE,large8,12,
LARGE,large20,0,
LARGE,large20,2,
LARGE,large20,10,
LARGE,large20,12,
LARGE,large1,0,
LARGE,large1,2,
LARGE,large1,10,
LARGE,large1,12,
LARGE,large19,0,
LARGE,large19,2,
LARGE,large19,10,
LARGE,large19,12,
LARGE,large10,0,
LARGE,large10,2,
LARGE,large10,10,
LARGE,large10,12,
LARGE,large4,0,
LARGE,large4,2,
LARGE,large4,10,35.63697585227624
LARGE,large4,12,
LARGE,large18,0,
LARGE,large18,2,
LARGE,large18,10,
LARGE,large18,12,
LARGE,large11,0,
LARGE,large11,2,
LARGE,large11,10,
LARGE,large11,12,
LARGE,large2,0,15.55613950979752
LARGE,large2,2,18.112288446921433
LARGE,large2,10,16.771197130291768
LARGE,large2,12,24.663696558183148
LARGE,large14,0,
LARGE,large14,2,
LARGE,large14,10,
LARGE,large14,12,
