Category,Subfolder,Tag ID,Average Distance (cm)
straight,straight31,0,
straight,straight31,2,
straight,straight31,10,
straight,straight31,12,
straight,straight8,0,
straight,straight8,2,29.440710391552823
straight,straight8,10,27.90273923905716
straight,straight8,12,33.28241051201
straight,straight25,0,
straight,straight25,2,
straight,straight25,10,
straight,straight25,12,
straight,straight20,0,
straight,straight20,2,
straight,straight20,10,
straight,straight20,12,
straight,straight15,0,
straight,straight15,2,
straight,straight15,10,
straight,straight15,12,
straight,straight30,0,
straight,straight30,2,
straight,straight30,10,
straight,straight30,12,
straight,straight4,0,12.351296063141294
straight,straight4,2,14.002858703925948
straight,straight4,10,12.591469960769894
straight,straight4,12,16.07876553900208
straight,straight17,0,
straight,straight17,2,
straight,straight17,10,
straight,straight17,12,
straight,straight13,0,
straight,straight13,2,
straight,straight13,10,
straight,straight13,12,55.11998247040724
straight,straight21,0,
straight,straight21,2,
straight,straight21,10,
straight,straight21,12,
straight,straight12,0,
straight,straight12,2,
straight,straight12,10,
straight,straight12,12,50.174978029132134
straight,straight24,0,
straight,straight24,2,
straight,straight24,10,
straight,straight24,12,
straight,straight16,0,
straight,straight16,2,
straight,straight16,10,
straight,straight16,12,
straight,straight22,0,
straight,straight22,2,
straight,straight22,10,
straight,straight22,12,
straight,straight27,0,
straight,straight27,2,
straight,straight27,10,
straight,straight27,12,
straight,straight9,0,
straight,straight9,2,
straight,straight9,10,31.246878346281115
straight,straight9,12,37.16072560049602
straight,straight26,0,
straight,straight26,2,
straight,straight26,10,
straight,straight26,12,
straight,straight6,0,
straight,straight6,2,21.65221661724625
straight,straight6,10,21.245217089844765
straight,straight6,12,24.70943013283093
straight,straight11,0,
straight,straight11,2,
straight,straight11,10,
straight,straight11,12,46.12224586694507
straight,straight3,0,8.006827878756075
straight,straight3,2,
straight,straight3,10,8.054444750250502
straight,straight3,12,11.435949454294631
straight,straight7,0,
straight,straight7,2,25.00602113764671
straight,straight7,10,23.432947303072034
straight,straight7,12,28.137562723065972
straight,straight28,0,
straight,straight28,2,
straight,straight28,10,
straight,straight28,12,
straight,straight14,0,
straight,straight14,2,
straight,straight14,10,
straight,straight14,12,
straight,straight29,0,
straight,straight29,2,
straight,straight29,10,
straight,straight29,12,
straight,straight19,0,
straight,straight19,2,
straight,straight19,10,
straight,straight19,12,
straight,straight5,0,16.002393124345037
straight,straight5,2,17.468637579605627
straight,straight5,10,16.079828479629732
straight,straight5,12,19.771198010075928
straight,straight23,0,
straight,straight23,2,
straight,straight23,10,
straight,straight23,12,
straight,straight18,0,
straight,straight18,2,
straight,straight18,10,
straight,straight18,12,
straight,straight2,0,
straight,straight2,2,
straight,straight2,10,
straight,straight2,12,
straight,straight10,0,
straight,straight10,2,
straight,straight10,10,34.71759657222108
straight,straight10,12,41.122928482839164
straight,straight32,0,
straight,straight32,2,
straight,straight32,10,
straight,straight32,12,
straight,straight1,0,12.910990570845513
straight,straight1,2,14.655265932825424
straight,straight1,10,12.979370454442751
straight,straight1,12,16.65536897198316
small,small11,0,
small,small11,2,
small,small11,10,
small,small11,12,54.6023094617264
small,small6,0,
small,small6,2,27.20151230002747
small,small6,10,25.360803972549597
small,small6,12,30.354031689798223
small,small28,0,
small,small28,2,
small,small28,10,
small,small28,12,
small,small1,0,7.4854791729433465
small,small1,2,
small,small1,10,7.452400581455964
small,small1,12,10.422162307756592
small,small17,0,
small,small17,2,
small,small17,10,
small,small17,12,
small,small22,0,
small,small22,2,
small,small22,10,
small,small22,12,
small,small32,0,
small,small32,2,
small,small32,10,
small,small32,12,
small,small13,0,
small,small13,2,
small,small13,10,
small,small13,12,
small,small19,0,
small,small19,2,
small,small19,10,
small,small19,12,
small,small24,0,
small,small24,2,
small,small24,10,
small,small24,12,
small,small14,0,
small,small14,2,
small,small14,10,
small,small14,12,
small,small21,0,
small,small21,2,
small,small21,10,
small,small21,12,
small,small27,0,
small,small27,2,
small,small27,10,
small,small27,12,
small,small20,0,
small,small20,2,
small,small20,10,
small,small20,12,
small,small12,0,
small,small12,2,
small,small12,10,
small,small12,12,
small,small31,0,
small,small31,2,
small,small31,10,
small,small31,12,
small,small7,0,
small,small7,2,33.08949884893462
small,small7,10,30.699818493582274
small,small7,12,37.32899594160504
small,small4,0,18.36235963857296
small,small4,2,19.96687924618377
small,small4,10,18.028304772686237
small,small4,12,22.19443805731542
small,small3,0,13.700792127954033
small,small3,2,15.772734209550215
small,small3,10,13.57717478957469
small,small3,12,17.81658369406078
small,small9,0,
small,small9,2,
small,small9,10,38.557650061464734
small,small9,12,46.369143819497296
small,small10,0,
small,small10,2,
small,small10,10,
small,small10,12,49.73044907439693
small,small25,0,
small,small25,2,
small,small25,10,
small,small25,12,
small,small18,0,
small,small18,2,
small,small18,10,
small,small18,12,
small,small8,0,
small,small8,2,
small,small8,10,34.07814583341931
small,small8,12,40.68482619091592
small,small15,0,
small,small15,2,
small,small15,10,
small,small15,12,
small,small2,0,10.556529299738802
small,small2,2,12.460668773497584
small,small2,10,10.61624142342153
small,small2,12,14.258085794292288
small,small30,0,
small,small30,2,
small,small30,10,
small,small30,12,
small,small5,0,
small,small5,2,23.584032867018024
small,small5,10,21.28372002086053
small,small5,12,26.297764673288402
small,small26,0,
small,small26,2,
small,small26,10,
small,small26,12,
small,small29,0,
small,small29,2,
small,small29,10,
small,small29,12,
small,small16,0,
small,small16,2,
small,small16,10,
small,small16,12,
small,small23,0,
small,small23,2,
small,small23,10,
small,small23,12,
middle,middle12,0,
middle,middle12,2,
middle,middle12,10,
middle,middle12,12,
middle,middle7,0,
middle,middle7,2,
middle,middle7,10,38.73763846315369
middle,middle7,12,47.537406331855394
middle,middle4,0,
middle,middle4,2,28.59170404067522
middle,middle4,10,24.212896231022615
middle,middle4,12,31.60240577312057
middle,middle17,0,
middle,middle17,2,
middle,middle17,10,
middle,middle17,12,
middle,middle24,0,
middle,middle24,2,
middle,middle24,10,
middle,middle24,12,
middle,middle25,0,
middle,middle25,2,
middle,middle25,10,
middle,middle25,12,
middle,middle30,0,
middle,middle30,2,
middle,middle30,10,
middle,middle30,12,
middle,middle28,0,
middle,middle28,2,
middle,middle28,10,
middle,middle28,12,
middle,middle15,0,
middle,middle15,2,
middle,middle15,10,
middle,middle15,12,
middle,middle20,0,
middle,middle20,2,
middle,middle20,10,
middle,middle20,12,
middle,middle2,0,14.742343700610855
middle,middle2,2,17.949900841002247
middle,middle2,10,14.485387990651931
middle,middle2,12,20.107839662197996
middle,middle3,0,
middle,middle3,2,23.920850327437726
middle,middle3,10,20.14150776246554
middle,middle3,12,26.65795228266245
middle,middle23,0,
middle,middle23,2,
middle,middle23,10,
middle,middle23,12,
middle,middle26,0,
middle,middle26,2,
middle,middle26,10,
middle,middle26,12,
middle,middle13,0,
middle,middle13,2,
middle,middle13,10,
middle,middle13,12,
middle,middle22,0,
middle,middle22,2,
middle,middle22,10,
middle,middle22,12,
middle,middle16,0,
middle,middle16,2,
middle,middle16,10,
middle,middle16,12,
middle,middle6,0,
middle,middle6,2,38.19398669115986
middle,middle6,10,33.97470497234357
middle,middle6,12,43.0885274040711
middle,middle5,0,
middle,middle5,2,32.98492542722281
middle,middle5,10,29.191495511954855
middle,middle5,12,36.860504740301735
middle,middle1,0,9.271840594892224
middle,middle1,2,11.715699652844842
middle,middle1,10,9.312986883548609
middle,middle1,12,14.918270817391782
middle,middle8,0,
middle,middle8,2,
middle,middle8,10,
middle,middle8,12,50.97926005620419
middle,middle9,0,
middle,middle9,2,
middle,middle9,10,
middle,middle9,12,54.60361388938456
