File Name,Average Distance
straight_000.csv,0.02956352297603435
straight_001.csv,0.08112990922810982
straight_002.csv,0.16094341698382905
straight_003.csv,0.22806998650058413
straight_004.csv,0.3010381266216334
straight_005.csv,0.3469433860859802
straight_006.csv,0.20493546883326402
straight_007.csv,0.2422172476399284
straight_008.csv,0.29816674607776206
straight_009.csv,0.36704405349470975
straight_010.csv,0.3965525410056068
straight_011.csv,0.4454076699899741
straight_012.csv,0.47678354689717567
straight_013.csv,0.5210914106047185
straight_014.csv,0.5693505442869248
straight_015.csv,0.6060957458836862
straight_016.csv,0.6439300329500569
straight_017.csv,0.7340642053115957
straight_018.csv,0.7791694529682832
straight_019.csv,0.8264330519014715
straight_020.csv,0.865035858670273
straight_021.csv,0.9151241459903018
straight_022.csv,0.9561968188074653
straight_023.csv,0.9962696738281854
straight_024.csv,1.0662403830383127
straight_025.csv,1.148543842259724
straight_026.csv,1.2656866150943389
straight_027.csv,1.299958350687876
straight_028.csv,1.260927711388472
straight_029.csv,1.34252657035219
straight_030.csv,1.4144900734732853
straight_031.csv,1.5185902098690929
straight_032.csv,1.624109853786963
straight_033.csv,1.6690084342989064
straight_034.csv,1.7146306664870417
straight_035.csv,1.7864459279824372
straight_036.csv,1.8564958798281108
